text,rating,polarity_score,polarity
belom dapet kerjaan,5,5,positive
ribet verifikasi id dah tetep aja gabisa aplikasi kocak,1,-12,negative
apk coba mualai login udah persulit,1,2,positive
daftar ko gak,3,1,positive
guud,5,0,neutral
,5,0,neutral
kekurangannya boros kuota,4,-7,negative
its ok,4,4,positive
i delete linkedin because i be force to verify it which cost money,1,-3,negative
cost consultants consult quantity surveyors,3,0,neutral
oke mantul,5,2,positive
beruntung,5,4,positive
upload foto profil ganti aja gaes apk linkedin upload foto alasan gimana tuh,1,10,positive
tolong bantu,5,6,positive
super apps trully link in your circle network koneksi and silaturahmi best ever have and show off on search engine as valid legitimate apps,5,7,positive
hilang fitur terbaru video reel loadingnya,5,7,positive
pemeriksaan keamanan,1,0,neutral
bagus share lowongan pekerjaan,5,5,positive
login aja susah sih,1,-2,negative
gabisa loginpadahal jaringan aman gada kendala,1,3,positive
gagal verivikasi ktp cahaya gambar,1,-2,negative
aplikasi membantu pennggalaman,5,0,neutral
opsional,5,0,neutral
aplikasi sampah lamar login dlu hiredtoday pas udah login ujungujungnya langsung aada tulisan menemukan halaman asli sih mah sampah bangett mend hapus aja nih apk playstore ga jugaa auto uninstal apk busuk,1,-11,negative
aplikasi belibet akun aja susah,1,-6,negative
membantu usaha,5,5,positive
login aj dipersulit gk kacau aplikasi bugg,1,-4,negative
verifikasi data lambat responsif lambat,1,-1,negative
pelajari berkembang komunitas positif,5,6,positive
iklan mengganggu,5,4,positive
aplikasi utk pencarian kerja dgn tampilan easy interface,5,-1,negative
jos jisht,5,0,neutral
mari lakukan pemerisaan cepat cepat apanya sejam gua nunggu muter muter load nya programer lu auth aja verifikasinya ganti aja gua,1,7,positive
bagus informasi yg butuhkan linkedin cuman kekurangan jg penyusup penipuan yg post job seejers utk menjerat korbannya kedepannya harapan tolong linkedin bs memfilter penipuan yg merugikan pencari kerja negara australia penipu menawarkan kpd sy gani tggi uang yg nilainya tdk dgn alasan pembuatan visa kerja tolong tdk linkedin terima kas,5,13,positive
pengalaman kesalahn sistem kesalahan tsbt akibatnya akun,1,-7,negative
pemeriksaan keamanan cepat,1,3,positive
mudah mencari,5,1,positive
beneran gk ntar hoax gw kasih bintang klo bener gw kerja apk gw kasih bintang,3,7,positive
cant log in and cant receive verification code to mobile number maybe bankrupt,1,0,neutral
kren memuaskan,5,5,positive
kehidupan harapan,3,0,neutral
aplikasi tolol kah udh brp kali dw ulang ttp ga login memeriksa keamanan pake kuota sinyal bagus diperbaiki ga banget aplikasinya,1,-13,negative
akun thn pas thn buka susah bgt loding banget,1,4,positive
gak banget cok udah verifikasi pake ktp aja gak login tolong perbaiki,1,5,positive
oc,5,0,neutral
yha,5,0,neutral
pencarian pekerjaan postingan kolom pencarian muncul angka total postingan muncul postingan orang mohon diperbaiki,1,7,positive
membantu info terkini,5,4,positive
menu tampilan postingan error menampilkan postingan kalangan,3,-4,negative
gak filter postingan kalo apply kerjaan memudahkan banget,3,6,positive
fitur hasil search postingan muncul search kunci jakarta hasil postingan muncul,1,11,positive
bagus,3,2,positive
all information be good and very useful,5,5,positive
gak verifikasi pas masuk verifikasi gmail eror bulakbalik,4,-4,negative
terperinci dipercaya,4,3,positive
login ulang karna hp restart pas giliran verifikasi persona udah kirim permintaan udh udah dicek berkala gitu tolong diperbaiki gimana edit permintaan verifikasi diperiksaditerima udah dicoba masuk suruh foto id tp pas difoto udah kirim permintaan sampe csnya dicari ga bikin laporan dr webnya login ya karna ga login bikin laporan,1,10,positive
aplikasi sampah ribet,1,-12,negative
link robot terjebak topeng purapura,1,0,neutral
aplikasi gjls gabisa login ngestuck pemeriksaan keamanan cepat,1,-1,negative
bermanfaat mencari relasi,5,5,positive
aplikasi kagak untung pas download posisi gue udah kerja gue coba donlot pengen dpt peluang kerja yg tp isi nya yg post loker bodong email kagak da respon isi nya flex jabatan ngeluh update status yg nongol wallujung nya kerjaan aplikasi sebelah,1,-1,negative
belajar,4,3,positive
jujur dibantu,5,6,positive
temcamsct,1,0,neutral
mudah mudahan pekerjaan,5,8,positive
dah aplikasi nya pas login pake email teka teki udah pilih visualsuara udah bener ulang teka teki nya aja mentok situ mohon perbaiki,1,-5,negative
pindah akun pas masukin akun google knp layar putih ku tunggu tolong maksudnya,1,3,positive
login karna ditolak akses trus,1,-2,negative
tolong tingkatkan aplikasi nya,5,-1,negative
keamanan data aplikasi buruk akun kebobolan orang asing udah masang verifikasi langkah ga pakai aplikasi ampas hati hati kalo pakai aplikasi kalo mend pakai aplikasi jobseeker,1,-19,negative
akunnya sulit,1,0,neutral
udah linkedin blok bikin akun x ganti email ganti nama ganti foto gk ujungnya linkedin verifikasi data verifikasi id ktpsim dll hasilnya ujungnya zooooonkkk buang aja bintang aplikasi,1,3,positive
aplikasi gak mencuri data pribadi sajah hati hati aplikasi akun kena hack retas orang akun fi batasi permanen detai data identitas pribadi batasi mengecewakan parah pencuri data identitas pengguna menutup akun pengguna penyelesaian tolong jual data,1,-31,negative
ribet login ulangnya kaga masuk mentok tulil,1,-12,negative
bikin akun sampe x kena restrict gatau dimana udah verif identitas akun gabisa nyusahin akun udah connectionnya hilang gitu aja,1,0,neutral
berlangganan dana ketarik tolong solusinya d refund,1,12,positive
,5,0,neutral
,5,0,neutral
gak,1,0,neutral
nice platform sosial media for job search,5,8,positive
login kudu selesain captcapas jawabannya bener diulanginya lagidungu emang,1,3,positive
belajar,5,3,positive
akun batasidan berganti nama udah setor identitas resmi bahaya nihh,1,-6,negative
akun sesuai data linkedin masi memblok akun berusaha coba login gagal kecewa kesalahan infokan blok,1,-4,negative
login pemeriksaan keamanan cepat nge stick situ gimana yg mw cari loker disitu,1,0,neutral
kau judol ya dataku,1,4,positive
umur th cari loker soper pribadi,5,1,positive
pokonya bintanglah,5,-2,negative
berpengalaman bidang interior pengerjaan plapon,5,4,positive
mahal bgt harganya upgrade premium dr harga jtkita cari loker buang duit,5,0,neutral
good aplication,5,5,positive
super app,5,3,positive
tolong balikin uang duit dana tibamelakukan pembayaran aplikasi uang makan keluarga tolong kembalikan,1,11,positive
utk membantu jembatan,5,0,neutral
informasi lengkap,5,4,positive
mantep,4,0,neutral
login linkedin tulisan mari periksa keamanan cepat haya berhenti disitu menampilkan apaapa login linkedin adakah solusinya plis tolong respon fatal bangay suruh upload dokumen udah maish nghk udah setahun lohj,1,3,positive
buruk tibatiba akun dibatasi proses pendaftaran akun barunya dipersulit,1,-1,negative
login,1,0,neutral
bagus luas mencari lapangan pekerjan,5,5,positive
bermanfaat membantu,5,9,positive
susah verifikasi akun menonaktifkan konfirmasi pengguna,1,1,positive
mendownload aplikasi,5,-4,negative
excellent,5,0,neutral
error terusss udh diupdate ttp gk dibuka tolong team dibantu,1,1,positive
good aplication,5,5,positive
membantu banget mencari pekerjaan sesuai sklill pengalaman dabest linkedln,5,10,positive
good app nice,5,9,positive
gimana akun kena ban,1,-3,negative
this application be very important for me it help me a lot in look for a job basically star for this application,5,-3,negative
rumah tanga,2,3,positive
akun premium mahal banget posisi mencari kerja jta umrumk cuman jtaan,2,3,positive
aplikasi yg rekomended,5,-4,negative
nice application for find relation or a job,5,4,positive
verifikasi aja ribet banget ktp chip sim pilihan kasih bilangnya paspor giliran ktp sim scan paspor fungsinya scan pake nfc benarbenar buruk,1,3,positive
ya allah uang ketarik otomatis akun dana senilai nya sengaja kepencet fitur langganan nyasaya mohon kembalikan uang sayasaya membutuhkan nya,1,18,positive
the best,5,0,neutral
akun ditangguhkan alasan pelanggaran sedikitpun kode verifikasi identitas dikirim alasan permintaan pertanggungjawaban linkedin memiliki customer service customer service berguna mengabaikan pesan dikirim,1,12,positive
the best,5,0,neutral
alimanten,4,0,neutral
mantap,3,5,positive
good application,5,5,positive
membantu,5,4,positive
aplikasi rampok gak iklas uang bayaran sekolah anak curi izin melakuan langganan tibatiba apk memotong saldo gak ridho gak iklas dunia akherat,1,-14,negative
top,5,5,positive
ga login akun login auto email google login suruh masuk aplikasi login aja ga,1,-8,negative
gak ngotak harga berlangganannya diatas sejuta,2,3,positive
membantu jobseeker,5,4,positive
keep it up,4,0,neutral
tes,1,0,neutral
sistem keamanan linkin berbahaya hack orang otp dikirim email diakses orang,1,-10,negative
aplikasih berbahaya,5,-4,negative
mantab,5,0,neutral
verivikasi kyc gak akses login haduh haduh ribet urusannya ngirim form gak tembus gak tau gimna bingung kirim pesan gmail blm tanggapan payah siasia verivikasi wajah ktp batasi akun pikirkan aplikasi ya kyc batasi percaya kataku ribet urusannya,1,2,positive
bantuan,1,0,neutral
ngak install ud berkali kali coba tp terkena bug,1,2,positive
jelek login gk sinyal bagus,1,-3,negative
perasaan download deh kagak dah,1,-6,negative
mudah mudahan cepat diterima aplikasi,5,6,positive
apk gajelas eror nya,1,-4,negative
politik membela masarakat,5,-1,negative
tip membatalkan p𝗶njaman uatas hubungi live chat wao alasan pembatalan siapkan data ktp ikuti langkahlangkah pembatalan instruksikan cs jam,5,1,positive
aplikasinya keren banget terhubung orang dunia batas,5,-1,negative
bagus koneksi dikurangi penggunaan kecepatan internetnya provider indonesia nggak kencang internet nya buka halaman persatu internet nya kencang susah klo gitu kitanya,5,16,positive
bug nya ga fix,1,0,neutral
apk nya berguna sistem eror daftar akun pokoknya berguna smaa,1,0,neutral
ga login udah berkalikali verifikasi ga ngapangapain akun dibatasi,1,0,neutral
udha berikn capca bnar aja salah,1,-3,negative
wartawan memiliki pengalaman media cetak siar digital,5,2,positive
un,1,0,neutral
very smart,5,0,neutral
akun gk diapa apain nonaktif hadeh kocak,1,-6,negative
jarang login akun login pake device dipersulit reset sandi ujungujungnya verifikasi identitas,4,0,neutral
jelek perangkat hilang log in akuj,4,-2,negative
okey,5,0,neutral
pakai link internet mudah cepat,4,7,positive
gak login salah sandi udh bener udh verifikasi sampe pake ktp aja salah gabisa login aplikasi gembel,1,-13,negative
semoga apl bagus kedepannya,5,2,positive
lemot banget linkedin malam,1,-5,negative
admin aplikasi linkedin memproses pembayaran pertanggung aplikasi pemesanan pembayaran saldo langsung ludas pemotongan aplikasi,1,-7,negative
sistem nya mohon diperbaiki terkena bug verifikasi kali kesalahan sistem login mohon tingkatkan sistem membaca tolong like komenan up dibaca linkedin,1,-6,negative
aplikasi yg membantu,5,0,neutral
bagus membantu orang mencari pekerjaan tolong lulusan sma,5,9,positive
knp akun dinonaktifkan bikin pelanggaran apapun tolong kembalikan akun,1,3,positive
apk buruk memiliki batass masuk akal,1,-8,negative
flexibel,5,0,neutral
keren maju smart,5,0,neutral
aplikasi menyenangkan informasi bermanfaat,5,7,positive
akun kebanyakan eror pdhl akun email tp tulisannya terdaftar kirim undangan connect orng tp gak masuk klo bintang ku kasih seperempat bintang,1,1,positive
fleksible,5,0,neutral
aplikasi bagus menunjang pekerjaan pastinya ngelinked inkan dg profesional,5,-2,negative
gimana nge refund pembelian langganan nya saldo kesedot tolong kembalikan saldo,5,11,positive
apk perbaikan kali akun tau penyebabnya,1,-1,negative
perbaikan pengaturan penempatan alatalat tulis pemisahan bentuk tulisan corp good luck repair,3,16,positive
good,5,5,positive
gajelass ngisi data maaf kesalahan linkedlntyd minimal benerin dlu apl kaya gini lulus play store,1,-2,negative
link titid problem tutup aja aplikasinya,1,-5,negative
kampung,5,0,neutral
memarik mebantu menghubungkan yg,4,0,neutral
sangatsangat ngebug log in,1,0,neutral
security check menyulitkan pengguna,2,2,positive
good job,5,5,positive
gagal upload pea,1,-4,negative
nya aja dongo pas login verifikasi kalo bot pas udah pas coba aja perbedaan tolong,3,12,positive
nice,5,4,positive
terbaik,5,5,positive
lolaaabug parah perbaiki minudah komplen,1,-5,negative
basam,5,0,neutral
membatalkan akun premium pembayaran otomatis potong saldo pemberitahuan refund uang yg terlanjur dipotong mohon infonya,1,5,positive
tolong verivikasi nya looo lakukan ketentuan gak macem platform aja sih terkenal kaga ribet iya janganjangan kau menipu verifikasi data,1,-3,negative
g dpt ap,1,0,neutral
susah cari kerja,1,-4,negative
bagus nyari info,4,-3,negative
pengalaman mengikuti praktek kerja lapangan salah pkspabrik kelapa sawit mekanik tyre salah pertambangan,5,2,positive
,5,0,neutral
bagus kendala,5,2,positive
akun coba,1,2,positive
lolos lolos seleksi alam lop,3,-6,negative
perusahaan swasta wajib data legal,1,-2,negative
petani,5,0,neutral
kerja market,5,2,positive
log in aja susah,1,-2,negative
daftar disuruh ngisi nomor hp udah ngisi kode verifikasi eh kodenya kirim kirim ganti nomor tetep aja gak dikirim pindah sms telfon tetep aja engga tolong bantu gimana udah sebulan nunggu kode verifikasi dapet udah berkali kali coba daftar tetep ajaa engga satupun kode verifikasi masuk,1,11,positive
tolong banget ya ga masukmasuk akun berharihari pencet tombol verify with persona muncul notif tulisan youve already submit a request gitugitu aja sampe ganti presiden lakukan kirim data permasalahan linkedin help website resmi ngedm akun x nya linkedin tindak tolong penyelesaiannya kasih bintang udah bener terimakasih,1,30,positive
log in ribet verifikasi stcuk memasukkan kode otp dibikin simple aja log in nya kalo ribet pastikan verifikasi nya berjalan,1,-4,negative
akun nonaktifkan urgent membuka akun,1,0,neutral
sengaja berlangganan aplikasi saldo potong mengajukan refund google harap refund saldo butuh uang bantu kerja nya boss,1,1,positive
aplikasi errornya,1,-4,negative
dhau hare foto ne hau hakfodak x hau hanoin kal avo nana haluhan los ami no familia nebe uluk luta mos ba avo nana nia poltika atu lori timor ba ukun ann tiu nando ho naran konhesido c loriku tasi mane chefe no cf ba organizasaun colimlau fzthau hnia maun alin sira nebe sira oz oraganizasaun colimau mak hanesan armando alias kipar tiu mantos alias sakunar no tiu martinu no sira seluk tan nebe hau la temin iha nee nia oin quaze hanesan ho avo xanana deit dala barak ema,4,3,positive
bagus responsif,5,2,positive
lumayan,5,1,positive
gak ngapa in akun linkedln dinonaktifkan mengganggu aktivitas linkedin,1,4,positive
linkedin buruk aman aman aja menggunakannya buka appnya keterangan data ikutin alur verifikasi persona gagal upload ulang coba kali akun hapus linkedin kesal butuhkan terbaik pengguna hapus app bintang app,1,-6,negative
baikbaik,5,0,neutral
pabrik kelapa sawit,5,0,neutral
ari fikri,2,0,neutral
akun dibatasin mulu,1,2,positive
mempermudah menghubungkan personal profesi,5,-3,negative
suruh tekan ya email dikirim gak apk apalah mempersulit login,3,3,positive
ok ok,4,8,positive
load very speed up,5,0,neutral
aplikasi membantu pencarian lowongan kerja pembuatan cv pemula,5,2,positive
proses pemulihan akun responsif mencoba menghubungi platform x responsif verifikasi data aplikasi kemajuan stick berbulan masuk akal sekelas organisasi linkedin lambat memproses aduan penggunanya akun cepat tanggapan responsif pemulihan akun rubah penilaian bintang,1,2,positive
aplikasi sih gak blokir mulu nyusahin bgt verif kodenya ga dikirim kirim nyusahin doang gak ngebantu,1,0,neutral
gak tolol apl ribet banget ajg pas bikin profile,1,-5,negative
daftar aja ribet verifikasi nomor telepon gagal,1,-6,negative
gajelas persona ga verif ga submit,1,0,neutral
bermanfaat,5,5,positive
udah ga cs dikit dikit akun dibatasi et dah capek banget gua nunggu buang,1,-11,negative
tolong balikin duit infokan biaya potonganmya rb ambil kalo tau potongan kek gini pake taiii balikin duit cepetttt hati hati pake app duit rek dana habis ambilnya,1,3,positive
eror udah daftar susah trus nya gk,2,-6,negative
tutup nonaktif akun ubah password akun mohon aplikasinya disempurnakan,1,0,neutral
kesalahan mulu anj,1,-3,negative
bosen kena batasan susah gabisa kayak apk ya batasannya ribet bgt ku hapus aja,1,-12,negative
sukses sukses linkedln,4,6,positive
linkedin tolong diperbaiki login ya hrus verifikasi ya kode dr emailno telp tidk hrs suru klik notifikasi pd akun yg sudh login krn tujuan nya login otomatis device trim,2,11,positive
aplikasi verifikasi identitas ktp indonesia ktp dokumen resmi dikeluarkan pemerintah paspor sulit nya negara indonesia dibilang masuk daftar harap pengguna hapus linkedin linkedin,1,-3,negative
bagus,5,2,positive
android icon menghilang,1,-3,negative
mengingatnya,1,0,neutral
login hp suruh konfirmasi hp hp gak ganti hp blas edan aplikasinya,1,1,positive
biaya langganan mahal,1,5,positive
im truly grateful for linkedin thank to this app i be able to connect with the right people and land my current job its more than just a professional networkits a place full of opportunities and support for career growth,5,8,positive
akun uda isi data besok nya akun nonaktifkan suruh selfie foto ktp tp akun bekukan fix aplikasi scam jual beli data transaksi ilegal,1,2,positive
tolong donk diperbaiki akun nya tp orang login akun sesi login ubah sandi ga tolong perbaiki,2,6,positive
menyenangkan,5,4,positive
knp ya linkedin disurh akun mulu padahl udh akun mlh gk alasannya akun dibtasipusing ya allah akun kaya gitu mulu,1,19,positive
woi reset password aja dipersulit tinggal kirim via email susahnya si notif lu aplikasi gak muncul woii,1,-2,negative
hello linkedin i hope that the very high level of privacy for each user be further improve by the way it work if we block the linkedin user account it will automatically block every link search engine and even all email on the device i really need it please improve it immediately thank,4,-5,negative
